Genome partition ID	(sub)Type / Coordinates	Strand	Cas gene
NC_007503	1930728..1931720	-	cas1
NC_007503	1931731..1932231	-	cas4
NC_007503	1932316..1934760	-	cas3
NC_007503	1934760..1935506	-	cas5
NC_007503	1935523..1936464	-	cas7b
NC_007503	1936465..1938405	-	cas8b1
NC_007503	1938477..1939223	-	cas6
NC_013131	CAS-I-E		
NC_013131	4428058..4428408	-	cas2
NC_013131	4428420..4429391	-	cas1
NC_013131	4429395..4430105	-	cas6e
NC_013131	4430105..4430842	-	cas5
NC_013131	4430839..4432038	-	cas7
NC_013131	4432035..4432706	-	cse2gr11
NC_013131	4432703..4437325	-	cas3,cas8e
NC_015514	CAS-I-E		
NC_015514	560045..562891	+	cas3
NC_015514	562930..564570	+	cas8e
NC_015514	564567..565217	+	cse2gr11
NC_015514	565217..566374	+	cas7
NC_015514	566371..567096	+	cas5
NC_015514	567098..567790	+	cas6e
NC_015514	567792..568745	+	cas1
NC_015514	568742..568930	+	cas2
NC_010995	CAS-I-C		
NC_010995	2802455..2802748	-	cas2
NC_010995	2802757..2803773	-	cas1
NC_010995	2803770..2804402	-	cas4
NC_010995	2804389..2805222	-	cas7
NC_010995	2805219..2807246	-	cas8c
NC_010995	2807243..2807947	-	cas5
NC_010995	2807956..2810409	-	cas3
NC_010995	2810616..2811452	-	WYL
NC_014820	partial CAS-I-U		
NC_014820	114822..117080	-	cas3
NC_014820	117408..119030	-	-
NC_014820	119027..119233	-	-
NC_014820	119261..119425	-	-
NC_014820	119425..120249	-	DNA primase (bacterial type) [
NC_014820	120522..123233	-	cas3
NC_019697	CAS-I-C		
NC_019697	2089334..2089627	-	cas2
NC_019697	2089630..2090661	-	cas1
NC_019697	2090658..2091281	-	cas4
NC_019697	2091338..2092477	-	cas7
NC_019697	2092548..2094302	-	cas8c
NC_019697	2094299..2094991	-	cas5
NC_019697	2095012..2097198	-	cas3
NC_019697	partial CAS-I-B		
NC_019697	3593794..3594432	-	cas5
NC_019697	3594941..3596314	+	Transposase DDE domain. Transp
NC_019697	3597690..3599015	+	-
NC_019697	3598935..3599180	-	cas8b3
NC_019697	3599161..3599817	-	cas6
NC_020053	CAS-I-C		
NC_020053	358091..360241	-	Metal dependent phosphohydrola,cas3
NC_020053	360496..362763	-	-
NC_020053	362857..363519	+	cas5
NC_020053	363509..365191	+	cas8c
NC_020053	365244..366104	+	cas7
NC_011027	CAS-III-A		
NC_011027	88617..89276	-	cas1
NC_011027	89396..89974	+	csx15
NC_011027	90205..92598	+	cas10
NC_011027	92598..93071	+	csm2gr11
NC_011027	93087..93956	+	csm3gr7
NC_011027	93970..95070	+	csm4gr5
NC_011027	95072..95386	+	-
NC_011027	95428..96921	+	csm5gr7
NC_011027	96918..98453	+	csx1
NC_011027	98480..99271	+	cas6
NC_007514	CAS-I-C		
NC_007514	1343970..1344260	-	cas2
NC_007514	1344306..1345337	-	cas1
NC_007514	1345334..1345981	-	cas4
NC_007514	1346002..1346844	-	cas7
NC_007514	1346873..1348801	-	cas8c
NC_007514	1348798..1349514	-	cas5
NC_007514	1349524..1351998	-	cas3
NC_010803	CAS-I-B		
NC_010803	488375..489355	+	WYL
NC_010803	489413..490213	+	cas6
NC_010803	490315..491397	+	Uncharacterized protein conser
NC_010803	491387..492178	+	Predicted nucleotidyltransfera
NC_010803	492171..493559	+	cas8b2
NC_010803	493582..494607	+	cas7
NC_010803	494610..495230	+	cas5
NC_010803	495232..497484	+	cas3
NC_010803	497489..498643	+	cas1
NC_010803	498775..499035	+	cas2
NC_010803	499042..499542	+	cas4
NC_010803	CAS-III-C		
NC_010803	1009061..1009684	+	cas1
NC_010803	1012342..1012626	+	cas2
NC_010803	1012746..1014941	+	RT_G2_intron: Reverse transcri,cas1
NC_010803	1017692..1018687	+	cmr1gr7
NC_010803	1018684..1019955	+	cmr6gr7
NC_010803	1019952..1022768	+	cas10
NC_010803	1022761..1023753	+	cmr4gr7
NC_010803	1023750..1024124	+	cmr5gr11
NC_010803	1024124..1024927	+	cmr3gr5
NC_007512	CAS-I-C		
NC_007512	1465575..1467653	+	cas3
NC_007512	1467677..1468390	+	cas5
NC_007512	1468387..1470132	+	cas8c
NC_007512	1470144..1471043	+	cas7
NC_007512	1471049..1471693	+	cas4
NC_007512	1471690..1472721	+	cas1
NC_007512	1472725..1473015	+	cas2
NC_010831	CAS-III-A		
NC_010831	1355547..1358099	+	cas10
NC_010831	1358117..1358734	-	DDE superfamily endonuclease.
NC_010831	1358776..1359249	-	Winged helix-turn helix. This
NC_010831	1359334..1359759	+	csm2gr11
NC_010831	1359762..1360496	+	csm3gr7
NC_010831	1360507..1361523	+	csm4gr5
NC_010831	1361532..1362674	+	csm5gr7
NC_010831	1362681..1363679	+	cas6
NC_010831	CAS-I-E		
NC_010831	2330933..2331907	+	WYL
NC_010831	2331897..2332439	+	DEDDh
NC_010831	2332409..2333284	+	cas3HD
NC_010831	2333372..2334778	+	Transposase DDE domain group 1
NC_010831	2335040..2336824	+	cas3
NC_010831	2336845..2338434	+	cas8e
NC_010831	2338438..2338971	+	cse2gr11
NC_010831	2338968..2339594	+	cas6e
NC_010831	2339607..2340743	+	cas7
NC_010831	2340740..2341441	+	cas5
NC_010831	2341431..2342306	+	cas1
NC_010831	2342309..2342626	+	cas2
NC_008639	CAS-I-C		
NC_008639	1633227..1633517	-	cas2
NC_008639	1633521..1634552	-	cas1
NC_008639	1634549..1635193	-	cas4
NC_008639	1635196..1636296	-	cas7
NC_008639	1636337..1638061	-	cas8c
NC_008639	1638058..1638771	-	cas5
NC_008639	1638794..1640797	-	cas3
NC_008639	1640784..1641035	-	cas3HD
NC_008639	1641028..1642041	-	WYL
NC_008639	CAS-III-A		
NC_008639	2364700..2365503	-	cas6
NC_008639	2365517..2367130	-	csx1
NC_008639	2367139..2369097	-	csm3gr7
NC_008639	2369102..2370166	-	csm4gr5
NC_008639	2370177..2371034	-	csm3gr7
NC_008639	2371047..2371523	-	csm2gr11
NC_008639	2371523..2373811	-	cas10
NC_008639	2374660..2375253	-	-
NC_008639	2375738..2376310	-	csx15
NC_008639	2376349..2377212	-	-
NC_008639	2379403..2381598	-	RT_G2_intron: Reverse transcri,cas1
NC_008639	2381639..2381923	-	cas2
NC_008639	2384620..2384907	-	-
NC_008639	2384904..2385551	-	Nucleotidyl transferase of unk
NC_008639	2386427..2388055	-	PpGpp synthetase catalytic dom
NC_008639	2389059..2389499	-	This conserved domain belongs
NC_008639	2392525..2392794	-	cas2
NC_008639	2392804..2393847	-	cas1
NC_008639	2393840..2394841	-	cas6
NC_009337	CAS-I-C		
NC_009337	1453671..1453898	+	cas3HD
NC_009337	1453899..1455896	+	cas3
NC_009337	1455919..1456629	+	cas5
NC_009337	1456626..1458341	+	cas8c
NC_009337	1458368..1459216	+	cas7
NC_009337	1459209..1459868	+	cas4
NC_009337	1459865..1460896	+	cas1
NC_009337	1460903..1461190	+	cas2
NC_002932	CAS-I-C		
NC_002932	1055243..1055533	-	cas2
NC_002932	1055537..1056568	-	cas1
NC_002932	1056565..1057209	-	cas4
NC_002932	1057212..1058111	-	cas7
NC_002932	1058129..1059922	-	cas8c
NC_002932	1059862..1060575	-	cas5
NC_002932	1060599..1062605	-	cas3
NC_002932	CAS-I-E		
NC_002932	1868933..1871518	+	cas3
NC_002932	1871536..1873128	+	cas8e
NC_002932	1873165..1873701	+	cse2gr11
NC_002932	1873698..1874327	+	cas6e
NC_002932	1874340..1875386	+	cas7
NC_002932	1875383..1876099	+	cas5
NC_002932	1876089..1876979	+	cas1
NC_002932	1876967..1877302	+	cas2
NC_012032	CAS-I-A		
NC_012032	77770..78474	-	cas5
NC_012032	78477..79466	-	cas7
NC_012032	79497..81356	-	cas8a4
NC_012032	81371..83776	-	cas3
NC_012032	83780..84808	-	WYL
NC_012032	CAS-III-A		
NC_012032	732343..732624	-	cas2
NC_012032	732644..733663	-	cas1
NC_012032	733641..734504	-	cas6
NC_012032	734843..735313	-	-
NC_012032	735515..736969	-	csx1
NC_012032	736966..738438	-	csx1
NC_012032	738435..739850	-	csm5gr7
NC_012032	739859..740944	-	csm4gr5
NC_012032	740962..741780	-	csm3gr7
NC_012032	741798..742250	-	csm2gr11
NC_012032	742287..744461	-	cas10
NC_012032	CAS-III-D		
NC_012032	3082930..3084084	-	csx3,csx3
NC_012032	3084152..3085036	+	csx1,Response regulator containing
NC_012032	3085123..3086448	+	csx1
NC_012032	3086445..3088067	+	cas10
NC_012032	3088054..3088716	+	csm3gr7
NC_012032	3088713..3090341	+	csx10gr5
NC_012032	3090338..3091813	+	csm3gr7,csm3gr7
NC_012032	3091810..3092370	+	csx19
NC_012032	3092381..3094708	+	csm3gr7
NC_012032	CAS-III-D		
NC_012032	3115759..3117423	+	cas10
NC_012032	3117423..3118091	+	csm3gr7
NC_012032	3118075..3119277	+	csx10gr5
NC_012032	3119274..3119729	+	csm2gr11
NC_012032	3119726..3120532	+	csm3gr7
NC_012032	3120525..3121409	+	csm3gr7
NC_012032	3121420..3121887	+	csx19
NC_012032	3121862..3122827	+	csm3gr7,csm3gr7
NC_012032	3122914..3123150	+	-
NC_012032	3123156..3123677	+	PIN domain of ribonucleases (t
NC_012032	3123680..3124687	+	csx1
NC_012032	CAS-I-B		
NC_012032	3948157..3949119	+	WYL
NC_012032	3949191..3950693	+	cas8b2
NC_012032	3950720..3951811	+	cas7
NC_012032	3951820..3952557	+	cas5
NC_012032	3952535..3954889	+	cas3
NC_012032	3954892..3955893	+	cas6
NC_012032	3956218..3957231	+	cas1
NC_012032	3957243..3957500	+	cas2
NC_012032	3957487..3958095	+	cas4
NC_012032	partial CAS-III		
NC_012032	4533460..4534446	+	cas6
NC_012032	4534458..4535813	+	csx1
NC_012032	4535847..4536863	+	WYL
NC_012032	4536860..4537585	+	csx1
NC_012032	4538127..4538759	+	RNAse HI family that includes
NC_012032	4538986..4540290	+	RT_G2_intron: Reverse transcri,RT_G2_intron: Reverse transcri
NC_012032	4540322..4541317	+	cas1
NC_012032	4541314..4541595	+	cas2
NC_012032	4541596..4543698	-	WYL
NC_011831	CAS-I-B		
NC_011831	700947..701555	-	cas4
NC_011831	701542..701799	-	cas2
NC_011831	701815..702828	-	cas1
NC_011831	703039..704016	-	cas6
NC_011831	704019..706364	-	cas3
NC_011831	706330..707079	-	cas5
NC_011831	707353..708444	-	cas7
NC_011831	708644..710146	-	cas8b2
NC_011831	710487..711440	-	WYL
NC_011831	CAS-III-D		
NC_011831	1313596..1314834	-	csx1
NC_011831	1314843..1316939	-	csm3gr7
NC_011831	1317053..1317277	-	-
NC_011831	1317287..1317676	-	-
NC_011831	1317732..1319828	-	csm3gr7
NC_011831	1319825..1320415	-	csx19
NC_011831	1320412..1322205	-	csm3gr7,csm3gr7,csm3gr7
NC_011831	1322209..1324545	-	csm3gr7,csx10gr5
NC_011831	1324542..1326170	-	cas10
NC_011831	1326189..1327922	-	csx1
NC_011831	1328076..1328981	-	csx1,Response regulator containing
NC_011831	1329033..1330181	+	csx3
NC_011831	CAS-I-A		
NC_011831	1458203..1458907	-	cas5
NC_011831	1458891..1459898	-	cas7
NC_011831	1459926..1461785	-	cas8a4
NC_011831	1461803..1464202	-	cas3
NC_011831	1464205..1465233	-	WYL
NC_011831	CAS-III-A		
NC_011831	4183322..4185481	+	cas10
NC_011831	4185534..4185992	+	csm2gr11
NC_011831	4186012..4186824	+	csm3gr7
NC_011831	4186829..4187920	+	csm4gr5
NC_011831	4187982..4189397	+	csm5gr7
NC_011831	4189411..4190886	+	csx1
NC_011831	4190891..4192327	+	csx1
NC_011831	4192430..4193290	+	cas6
NC_011831	4193268..4194287	+	cas1
NC_011831	4194303..4194584	+	cas2
NC_011831	CAS-III-C		
NC_011831	4647298..4648221	-	cmr3gr5
NC_011831	4648218..4648589	-	cmr5gr11
NC_011831	4648586..4649935	-	cmr4gr7,Mediator complex subunit 3 fun
NC_011831	4649949..4653155	-	cas10
NC_011831	4653167..4654144	-	cmr6gr7
NC_011831	4654141..4655628	-	cmr1gr7
NC_011831	CAS-III-C		
NC_011831	4660553..4661386	-	cmr3gr5
NC_011831	4661397..4661786	-	cmr5gr11
NC_011831	4661809..4662768	-	cmr4gr7
NC_011831	4662779..4665574	-	cas10
NC_011831	4665571..4666890	-	cmr6gr7
NC_011831	4666887..4667591	-	-
NC_011831	4667588..4669192	-	Predicted ATPases [General fun
NC_011831	4669189..4670256	-	cmr1gr7
NC_010175	CAS-I-A		
NC_010175	77807..78511	-	cas5
NC_010175	78514..79503	-	cas7
NC_010175	79534..81093	-	cas8a4
NC_010175	81155..81394	-	-
NC_010175	81409..83814	-	cas3
NC_010175	83818..84846	-	WYL
NC_010175	CAS-III-A		
NC_010175	732201..732482	-	cas2
NC_010175	732502..733521	-	cas1
NC_010175	733499..734362	-	cas6
NC_010175	735373..736827	-	csx1
NC_010175	736824..738296	-	csx1
NC_010175	738293..739708	-	csm5gr7
NC_010175	739717..740802	-	csm4gr5
NC_010175	740820..741638	-	csm3gr7
NC_010175	741656..742108	-	csm2gr11
NC_010175	742145..744319	-	cas10
NC_010175	CAS-III-D		
NC_010175	3087818..3088972	-	csx3,csx3
NC_010175	3089040..3089924	+	csx1,Response regulator containing
NC_010175	3090011..3091336	+	csx1
NC_010175	3091333..3092955	+	cas10
NC_010175	3092942..3093604	+	csm3gr7
NC_010175	3093601..3095229	+	csx10gr5
NC_010175	3095226..3096701	+	csm3gr7,csm3gr7
NC_010175	3096698..3097258	+	csx19
NC_010175	3097269..3099596	+	csm3gr7
NC_010175	CAS-III-D		
NC_010175	3120646..3122310	+	cas10
NC_010175	3122310..3122978	+	csm3gr7
NC_010175	3122962..3124164	+	csx10gr5
NC_010175	3124161..3124616	+	csm2gr11
NC_010175	3124613..3125419	+	csm3gr7
NC_010175	3125412..3126296	+	csm3gr7
NC_010175	3126307..3126774	+	csx19
NC_010175	3126749..3127714	+	csm3gr7,csm3gr7
NC_010175	3127801..3128037	+	-
NC_010175	3128043..3128564	+	PIN domain of ribonucleases (t
NC_010175	3128567..3129574	+	csx1
NC_010175	CAS-I-B		
NC_010175	3952397..3953359	+	WYL
NC_010175	3953431..3954933	+	cas8b2
NC_010175	3954960..3956051	+	cas7
NC_010175	3956039..3956797	+	cas5
NC_010175	3956775..3959129	+	cas3
NC_010175	3959132..3960133	+	cas6
NC_010175	3960458..3961471	+	cas1
NC_010175	3961483..3961740	+	cas2
NC_010175	3961727..3962335	+	cas4
NC_010175	partial CAS-III		
NC_010175	4523413..4524399	+	cas6
NC_010175	4524411..4525766	+	csx1
NC_010175	4525800..4526816	+	WYL
NC_010175	4526813..4527538	+	csx1
NC_010175	4528080..4528712	+	RNAse HI family that includes
NC_010175	4528939..4530243	+	RT_G2_intron: Reverse transcri,RT_G2_intron: Reverse transcri
NC_010175	4530275..4531270	+	cas1
NC_010175	4531267..4531548	+	cas2
NC_010175	4531549..4533651	-	WYL
NC_011026	CAS-III-B		
NC_011026	1118238..1119119	-	cmr1gr7
NC_011026	1119116..1120528	-	cmr6gr7
NC_011026	1120530..1120943	-	cmr5gr11
NC_011026	1120956..1121927	-	cmr4gr7
NC_011026	1121940..1123328	-	csm6
NC_011026	1123328..1124386	-	cmr3gr5
NC_011026	1124379..1126262	-	cas10
NC_011026	CAS-I-B		
NC_011026	2058555..2059625	-	cas7
NC_011026	2059637..2061037	-	cas8b6
NC_011026	2061044..2063215	-	cas3
NC_011026	2063217..2063813	-	cas5
NC_011026	2063828..2064484	-	cas6
NC_011026	2064728..2065711	-	WYL
NC_011026	partial CAS-I		
NC_011026	2819813..2820340	-	cas4
NC_011026	2820344..2820631	-	cas2
NC_011026	2820638..2821792	-	cas1
NC_011026	2821835..2822638	-	cas6
NC_005085	CAS-I-C		
NC_005085	1285455..1287536	+	cas3
NC_005085	1287823..1288518	+	cas5
NC_005085	1288515..1290290	+	cas8c
NC_005085	1290301..1291167	+	cas7
NC_005085	1291179..1291805	+	cas4
NC_005085	1291807..1292847	+	cas1
NC_005085	1292860..1293150	+	cas2
NC_005085	CAS-I-F		
NC_005085	1902728..1903315	-	cas6f
NC_005085	1903315..1904349	-	cas7f
NC_005085	1904346..1905344	-	cas5f
NC_005085	1905334..1906743	-	cas8f
NC_005085	1906959..1910270	-	cas3f
NC_005085	1910267..1911244	-	cas1
NC_007963	CAS-I-E		
NC_007963	253773..256466	+	cas3
NC_007963	256545..256880	+	Helix-turn-helix domain. Membe
NC_007963	256873..258120	+	HipA-like N-terminal domain. T,HipA-like C-terminal domain. T
NC_007963	258294..259988	+	cas8e
NC_007963	259985..260677	+	cse2gr11
NC_007963	260737..261843	+	cas7
NC_007963	261855..262637	+	cas5
NC_007963	262637..263329	+	cas6e
NC_007963	263339..264259	+	cas1
NC_007963	264261..264557	+	cas2
NC_019695	CAS-I-B		
NC_019695	3361161..3361448	-	cas2
NC_019695	3361470..3362474	-	cas1
NC_019695	3362517..3363110	-	cas4
NC_019695	3363097..3363960	-	cas6
NC_019695	3363971..3366652	-	cas3
NC_019695	3366645..3367472	-	cas5
NC_019695	3367476..3368351	-	cas7
NC_019695	3368354..3370834	-	cas8b5
NC_019695	3370981..3371844	+	WYL
NC_013716	CAS-I-E		
NC_013716	3215909..3218629	+	cas3
NC_013716	3219125..3220684	+	cas8e
NC_013716	3220681..3221217	+	cse2gr11
NC_013716	3221195..3222286	+	cas7
NC_013716	3222297..3223043	+	cas5
NC_013716	3223025..3223675	+	cas6e
NC_013716	3223672..3224595	+	cas1
NC_013716	3224601..3224876	+	cas2
NC_016791	CAS-I-C		
NC_016791	1442187..1444598	+	cas3
NC_016791	1444606..1445346	+	cas5
NC_016791	1445333..1447270	+	cas8c
NC_016791	1447284..1448141	+	cas7
NC_016791	1448128..1448796	+	cas4
NC_016791	1448793..1449824	+	cas1
NC_016791	1449834..1450124	+	cas2
NC_015737	CAS-I-E		
NC_015737	2151963..2154731	+	cas3
NC_015737	2154718..2156472	+	cas8e
NC_015737	2156469..2157050	+	cse2gr11
NC_015737	2157100..2158161	+	cas7
NC_015737	2158177..2158896	+	cas5
NC_015737	2158898..2159530	+	cas6e
NC_015737	2159916..2160482	+	cas1
NC_015737	2160489..2161424	+	cas2,DEDDh
NC_018664	CAS-I-B		
NC_018664	695459..696415	+	WYL
NC_018664	696471..697199	+	cas6
NC_018664	697211..698893	+	cas8b2
NC_018664	698898..699767	+	cas7
NC_018664	699754..700515	+	cas5
NC_018664	700524..702491	+	cas3
NC_018664	702798..703289	+	cas4
NC_018664	703299..704291	+	cas1
NC_018664	704313..704576	+	cas2
NC_022592	CAS-I-B		
NC_022592	1490911..1491195	-	cas2
NC_022592	1491212..1492216	-	cas1
NC_022592	1492234..1492728	-	cas4
NC_022592	1492747..1495314	-	cas3
NC_022592	1495327..1496073	-	cas5
NC_022592	1496077..1497006	-	cas7b
NC_022592	1497007..1498761	-	cas8b1
NC_010418	CAS-I-B		
NC_010418	125093..125824	+	cas6
NC_010418	125851..127752	+	cas8b1
NC_010418	127773..128708	+	cas7b
NC_010418	128798..129559	+	cas5
NC_009697	CAS-III-B		
NC_009697	2243224..2244117	-	cmr6gr7
NC_009697	2244129..2244563	-	cmr5gr11
NC_009697	2244591..2245430	-	cmr4gr7
NC_009697	2245442..2246641	-	cmr3gr5
NC_009697	2246658..2248370	-	cas10
NC_009697	2248371..2249558	-	cmr1gr7
NC_009697	2249571..2251274	-	Saccharomyces cerevisiae inner
NC_009697	2251326..2251700	-	-
NC_009697	2251720..2252409	-	cas6
NC_009495	CAS-III-B		
NC_009495	2314499..2315392	-	cmr6gr7
NC_009495	2315404..2315838	-	cmr5gr11
NC_009495	2315866..2316705	-	cmr4gr7
NC_009495	2316717..2317916	-	cmr3gr5
NC_009495	2317933..2319645	-	cas10
NC_009495	2319646..2320833	-	cmr1gr7
NC_009495	2320846..2322549	-	Saccharomyces cerevisiae inner
NC_009495	2322601..2322975	-	-
NC_009495	2322995..2323684	-	cas6
NC_009698	CAS-III-B		
NC_009698	2243443..2244336	-	cmr6gr7
NC_009698	2244348..2244782	-	cmr5gr11
NC_009698	2244810..2245649	-	cmr4gr7
NC_009698	2245661..2246860	-	cmr3gr5
NC_009698	2246877..2248589	-	cas10
NC_009698	2248590..2249777	-	cmr1gr7
NC_009698	2249790..2251493	-	Saccharomyces cerevisiae inner
NC_009698	2251545..2251919	-	-
NC_009698	2251939..2252628	-	cas6
NC_010379	CAS-I-B		
NC_010379	143472..144095	+	cas6
NC_010379	144122..145987	+	cas8b1
NC_010379	146037..146975	+	cas7b
NC_010379	147066..147827	+	cas5
NC_010516	CAS-III-D		
NC_010516	2355007..2357127	-	csm3gr7
NC_010516	2357105..2357527	-	csx19
NC_010516	2357545..2358945	-	csm3gr7,csm3gr7
NC_010516	2358938..2361253	-	csm3gr7,csx10gr5
NC_010516	2361255..2362931	-	cas10
NC_010516	2362967..2363464	-	-
NC_010516	2363484..2364173	-	cas6
NC_015417	CAS-I-B		
NC_015417	19762..21618	+	cas8b1
NC_015417	21618..22553	+	cas7b
NC_015417	22591..22749	-	Ribbon-helix-helix domain. Thi
NC_015417	22847..23980	+	Transposase and inactivated de
NC_015417	24147..24860	+	cas5
NC_015417	25789..27021	-	Transposase, Mutator family.
NC_015417	27959..30445	+	cas3
NC_015426	partial CAS-I-B		
NC_015426	77874..79892	-	cas3
NC_015426	79965..80429	-	-
NC_015426	81200..82432	-	Transposase, Mutator family.
NC_015426	82757..82963	-	-
NC_015426	83248..84087	-	cas7
NC_015426	84056..84286	-	-
NC_015426	84313..84453	-	-
NC_015426	84886..85545	-	-
NC_015426	85547..86302	-	cas6
NC_015426	86281..86934	-	cas5
NC_012658	CAS-III-B		
NC_012658	2372091..2373125	-	cmr6gr7
NC_012658	2373262..2373711	-	cmr5gr11
NC_012658	2373728..2374606	-	cmr4gr7
NC_012658	2374622..2376076	-	csx1
NC_012658	2376069..2377202	-	cmr3gr5
NC_012658	2377204..2379108	-	cas10
NC_012658	2379093..2379998	-	cmr1gr7
NC_012658	2380060..2380749	-	cas6
NC_017297	CAS-III-B		
NC_017297	2365145..2366443	-	cmr6gr7
NC_017297	2366436..2366915	-	cmr5gr11
NC_017297	2366915..2367778	-	cmr4gr7
NC_017297	2367792..2369063	-	csx1
NC_017297	2369066..2370169	-	cmr3gr5
NC_017297	2370150..2371895	-	cas10
NC_017297	2371898..2373079	-	cmr1gr7
NC_017297	2373125..2373814	-	cas6
NC_009699	CAS-III-B		
NC_009699	2365025..2366323	-	cmr6gr7
NC_009699	2366316..2366795	-	cmr5gr11
NC_009699	2366795..2367658	-	cmr4gr7
NC_009699	2367672..2368943	-	csx1
NC_009699	2368946..2370049	-	cmr3gr5
NC_009699	2370030..2371775	-	cas10
NC_009699	2371778..2372959	-	cmr1gr7
NC_009699	2373005..2373694	-	cas6
NC_017299	CAS-III-B		
NC_017299	2324122..2325444	-	cmr6gr7
NC_017299	2325419..2325886	-	cmr5gr11
NC_017299	2325879..2326781	-	cmr4gr7
NC_017299	2325879..2326454	-	cmr4gr7
NC_017299	2326795..2328144	-	csx1
NC_017299	2328147..2329250	-	cmr3gr5
NC_017299	2329231..2330976	-	cas10
NC_017299	2330976..2332184	-	cmr1gr7
NC_017299	2332212..2332901	-	cas6
NC_011898	partial CAS-I-C		
NC_011898	1791651..1793837	+	cas3
NC_011898	1793850..1794506	+	cas5
NC_011898	1795899..1796945	-	Winged helix-turn helix. This,Integrase core domain.
NC_011898	1797595..1798479	+	cas7
NC_011898	1798476..1799144	+	cas4
NC_011898	1799141..1800172	+	cas1
NC_011898	1800182..1800472	+	cas2
NC_011898	CAS-II-C		
NC_011898	3652990..3653337	-	cas2
NC_011898	3653330..3654226	-	cas1
NC_011898	3654189..3657254	-	cas9
NC_014393	CAS-I-A		
NC_014393	2750940..2753057	-	cas3
NC_014393	2753066..2753704	-	cas5
NC_014393	2753718..2754638	-	cas7
NC_014393	2754638..2755975	-	cas8a2
NC_021047	CAS-I-C		
NC_021047	374287..376563	+	cas3
NC_021047	378386..379048	+	cas5
NC_021047	379248..380822	+	cas8c
NC_021047	380823..381722	+	cas7
NC_021047	381862..382524	+	cas4
NC_016627	CAS-III-D;CAS-I-B		
NC_016627	2474299..2474913	-	cas4
NC_016627	2474888..2475178	-	cas2
NC_016627	2475172..2476167	-	cas1
NC_016627	2478926..2480401	-	csx1
NC_016627	2480453..2481700	-	csx1
NC_016627	2481750..2483825	-	csm3gr7
NC_016627	2483840..2484205	-	csx19
NC_016627	2484212..2485543	-	csm3gr7,csm3gr7
NC_016627	2485540..2487141	-	csx10gr5
NC_016627	2487134..2487808	-	csm3gr7
NC_016627	2487811..2489274	-	cas10
NC_016627	2489321..2489980	-	cas6
NC_016627	2490008..2492404	-	cas3
NC_016627	2492418..2493131	-	cas5
NC_016627	2493146..2494063	-	cas7
NC_016627	2494060..2495940	-	cas8b1
NC_016627	CAS-I-B		
NC_016627	3023170..3023703	-	cas4
NC_016627	3023724..3025916	-	cas3
NC_016627	3025932..3026681	-	cas5
NC_016627	3026668..3027552	-	cas7
NC_016627	3027552..3029141	-	cas8b2
NC_009089	partial CAS-I-B		
NC_009089	2825848..2828256	-	cas3
NC_009089	2828283..2829080	-	cas5
NC_009089	2829096..2830112	-	cas7
NC_009089	2830132..2831607	-	-
NC_009089	2831612..2832349	-	cas6
NC_009089	CAS-I-B		
NC_009089	3456942..3457208	-	cas2
NC_009089	3457211..3458191	-	cas1
NC_009089	3458194..3458712	-	cas4
NC_009089	3458760..3461081	-	cas3
NC_009089	3461092..3461793	-	cas5
NC_009089	3461795..3462709	-	cas7
NC_009089	3462711..3464588	-	cas8b2
NC_009089	3464594..3465331	-	cas6
NC_009089	3465409..3466326	-	WYL
NC_017177	CAS-I-B		
NC_017177	75935..78460	-	cas3
NC_017177	78891..79298	+	-
NC_017177	79348..80100	-	cas5
NC_017177	80103..81059	-	cas7b
NC_017177	81239..82918	-	cas8b1
NC_017177	82992..83678	-	cas6
NC_017179	partial CAS-I-B		
NC_017179	2669127..2671535	-	cas3
NC_017179	2671562..2672368	-	cas5
NC_017179	2672384..2673397	-	cas7
NC_017179	2673417..2674892	-	-
NC_017179	2674897..2675634	-	cas6
NC_017179	CAS-I-B		
NC_017179	3254245..3254511	-	cas2
NC_017179	3254514..3255494	-	cas1
NC_017179	3255497..3256066	-	cas4
NC_017179	3256063..3258384	-	cas3
NC_017179	3258395..3259096	-	cas5
NC_017179	3259098..3260012	-	cas7
NC_017179	3260014..3261891	-	cas8b2
NC_017179	3261897..3262634	-	cas6
NC_017179	3262712..3263599	-	WYL
NC_017179	partial CAS-I-B		
NC_017179	3500323..3502308	-	cas3
NC_017179	3502319..3503389	-	cas7
NC_017179	3503410..3504576	-	cas8b2
NC_017179	3504578..3505342	-	cas6
NC_013315	partial CAS-I-B		
NC_013315	2661117..2663525	-	cas3
NC_013315	2663552..2664358	-	cas5
NC_013315	2664374..2665387	-	cas7
NC_013315	2665407..2666882	-	-
NC_013315	2666887..2667624	-	cas6
NC_013315	CAS-I-B		
NC_013315	3246226..3246504	-	cas2
NC_013315	3246495..3247475	-	cas1
NC_013315	3247478..3248029	-	cas4
NC_013315	3248044..3250365	-	cas3
NC_013315	3250376..3251077	-	cas5
NC_013315	3251079..3251993	-	cas7
NC_013315	3251995..3253872	-	cas8b2
NC_013315	3253878..3254615	-	cas6
NC_013315	3254693..3255610	-	WYL
NC_013315	CAS-I-B		
NC_013315	3492305..3494290	-	cas3
NC_013315	3494301..3495371	-	cas7
NC_013315	3495392..3496558	-	cas8b2
NC_013315	3496560..3497324	-	cas6
NC_013315	3497315..3497962	-	cas5
NC_013316	partial CAS-I-B		
NC_013316	2741672..2744080	-	cas3
NC_013316	2744107..2744913	-	cas5
